Italian,English
e,and
non,not
che,that
di,from
la,there
il,the
un,a
a,to
per,for
è,is
in,in
una,a
mi,me
sono,I am
ho,I have
si,Yes
ha,has
ma,but
lo,the
cosa,what
con,with
no,no
le,the
ti,you
se,self
da,from
i,the
come,as
io,I
ci,there
hai,you have
questo,this
bene,well
qui,here
sei,six
del,of the
tu,you
solo,alone
mio,my
al,to the
me,myself
tutto,everything
c',there
te,you
era,was
della,from the
mia,my
fatto,done
fare,do
essere,to be
so,so
quando,when
sì,Yes
ora,Now
lei,she
gli,the
ne,neither
oh,Oh
questa,this
detto,said
ok,ok
va,it goes
perche,because
quello,that
mai,never
alla,at the
o,or
anche,also
stato,state
abbiamo,we have
tutti,all
dei,of the
grazie,thank you
chi,who
sta,is
molto,very
più,more
voglio,I want
perché,because
tuo,your
beh,well
sia,be
nel,In the
lui,he
allora,so
posso,I can
piu,more
ehi,Hey
prima,first
tua,your
suo,his
niente,nothing
qualcosa,something
sai,you know
siamo,are
un',a
cosi,as
davvero,really
ancora,still
hanno,they have
stai,you are
fa,does
sua,her
così,Like this
casa,home
uno,one
dove,where is it
su,on
vero,real
vuoi,do you want
noi,we
due,two
quindi,so
dire,to say
d',d '
delle,from the
quella,that
sempre,always
altro,other
sto,I'm
andare,to go
ad,to
po,bit
loro,they
devo,I must
quel,that
forse,maybe
li,there
proprio,own
certo,certain
tempo,weather
nella,in the
poi,then
vi,you
credo,I believe
vita,life
cose,what's this
sul,on the
quanto,how much
puoi,can
fuori,out
anni,years
cui,which
andiamo,here we go
dell',dell
parte,part
visto,view
qualcuno,someone
all',all
lavoro,work
voi,you
ciao,Hello
dio,God
volta,time
dopo,after
adesso,now
stata,was
uomo,man
padre,father
devi,you have to
bisogno,need
gia,already
amico,friend
ed,and
posto,place
nessuno,nobody
via,Street
cos',COS
fai,you do
signore,man
meglio,better
cazzo,cock
dai,come on
dal,from
vuole,wants
sembra,it seems
giorno,day
ogni,every
modo,way
senza,without
vedere,to see
dobbiamo,we have to
signor,Mr
qualche,some
dispiace,sorry
penso,I think
ecco,Here you are
parlare,talk
tra,between
mamma,mom
già,already
sarebbe,would be
dalla,from the
troppo,too
fosse,it were
possiamo,we can
ce,there is
nuovo,new
male,bad
madre,mother
avete,you have
tanto,much
favore,favor
successo,success
vai,Go
sulla,on the
giusto,right
sa,knows
miei,my
aspetta,Wait
avere,to have
altra,other
farlo,to do it
alle,at
facendo,doing
abbia,have
momento,moment
ero,was
aveva,had
ragazzi,lads
deve,needs to
persone,people
nostro,our
tipo,guy
prego,You are welcome
grande,great
può,can
senti,hear
appena,just
potrebbe,could be
soldi,money
dice,He says
sapere,know
tre,three
oggi,today
questi,these
piace,like it
idea,idea
siete,you are
ai,to the
avevo,I had
figlio,son
accordo,agreement
gente,people
sicuro,Safe
vieni,do you come
degli,of the
guarda,look
dentro,inside
trovato,found it
queste,these
caso,case
forza,force
dov',where
tutte,all
pensi,think
signora,Mrs
faccio,I do
nome,first name
